sample_idx,method,perturbation_idx,pearson,rank_corr,topk_iou,target_confidence
4235,lime,0,0.9854001697781144,0.9016203320816538,0.785344592754018,0.20559875667095184
4235,lime,1,0.9926347304365426,0.9921368423772878,0.785344592754018,0.17070767283439636
4235,lime,2,0.9932131345998259,0.9474661787215349,0.5424805836667451,0.08979453146457672
4235,lime,3,0.9864353235154874,0.8934458723093069,0.785344592754018,0.24732352793216705
4235,lime,4,0.9878813103439921,0.967697825884616,0.785344592754018,0.22517608106136322
4235,shap,0,0.979645104067308,0.9896537656046547,0.5032110091743119,0.1883154809474945
4235,shap,1,0.9831663810607969,0.9890209907798908,0.6083435582822085,0.15379014611244202
4235,shap,2,0.9687199935512603,0.9868870740022334,0.5330994152046784,0.12852540612220764
4235,shap,3,0.9854682868158028,0.9897503704360293,0.48179968347275604,0.2882513105869293
4235,shap,4,0.9809727273762883,0.9899480605152596,0.6974876974876975,0.17527227103710175
4589,gradcam,0,0.9383919638093998,0.9057278553444724,0.7586206896551724,0.4397984445095062
4589,gradcam,1,0.9366538699826568,0.8858756294346533,0.7586206896551724,0.5106499195098877
4589,gradcam,2,0.8522556712240498,0.8650992790112154,0.59375,0.4872157573699951
4589,gradcam,3,0.8432083006454648,0.8639183737697413,0.6451612903225806,0.57955002784729
4589,gradcam,4,0.7944760012778733,0.8202234493018997,0.5692307692307692,0.6297823786735535
4589,lime,0,-0.3038327957530682,-0.35905766678452,0.0,0.44263333082199097
4589,lime,1,0.7542563796715868,0.6013108553833892,0.23753776435045318,0.5169433355331421
4589,lime,2,0.8381936480749446,0.6860240865880357,0.3219039935457846,0.5268612504005432
4589,lime,3,0.14773689961598957,0.1655944243641668,0.0,0.4446076452732086
4589,lime,4,0.947250309649791,0.7378520607583069,0.41158733577428386,0.6946775913238525
4589,shap,0,0.591882969300312,0.5385582213529546,0.3449620357069567,0.39045852422714233
4589,shap,1,0.8398999031766674,0.8436996488924648,0.6020532877047177,0.4819778800010681
4589,shap,2,0.916384339928018,0.8379818213510348,0.6020532877047177,0.4754156172275543
4589,shap,3,0.7045556183832441,0.8228439914013225,0.6028368794326241,0.4978092610836029
4589,shap,4,0.8978840417892908,0.8091057077309387,0.6040137053352912,0.5685795545578003
